@relation fixed-weather-check-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P80.0-weka.filters.unsupervised.attribute.Remove-R7

@attribute 'Do you typically check a daily weather report?' {Yes,No}
@attribute 'How do you typically check the weather?' {mobile,internet,tv,paper,radio,Newsletter}
@attribute Age {'30 - 44','18 - 29','45 - 59',60+}
@attribute 'What is your gender?' {Male,Female}
@attribute 'How much total combined money did all members of your HOUSEHOLD earn last year?' {'$50000 to $74999','$100000 to $124999','$150000 to $174999','$25000 to $49999','Prefer not to answer','$0 to $9999','$10000 to $24999','$75000 to $99999','$200000 and up','$175000 to $199999','$125000 to $149999'}
@attribute 'US Region' {'South Atlantic','Middle Atlantic','West South Central',Pacific,'West North Central','East North Central',Mountain,'New England','East South Central'}
@attribute 'incluence on checking smartwatch' {positive,negative}

@data
Yes,mobile,60+,Female,'$50000 to $74999','South Atlantic',positive
Yes,internet,'45 - 59',Male,'Prefer not to answer',Pacific,negative
No,mobile,'18 - 29',Female,'$50000 to $74999','South Atlantic',positive
Yes,mobile,'45 - 59',Female,'$50000 to $74999','East North Central',positive
Yes,tv,60+,Female,'$75000 to $99999','East South Central',positive
Yes,mobile,'30 - 44',Female,'$25000 to $49999','East North Central',positive
Yes,mobile,'45 - 59',Male,'$100000 to $124999','East North Central',positive
Yes,tv,'30 - 44',Male,'Prefer not to answer',Pacific,positive
Yes,mobile,60+,Male,'Prefer not to answer','East North Central',positive
No,mobile,'30 - 44',Female,'$50000 to $74999','West South Central',positive
Yes,tv,'45 - 59',Male,'$100000 to $124999',Pacific,positive
Yes,internet,60+,Male,'$125000 to $149999',Pacific,positive
Yes,mobile,'45 - 59',Male,'$50000 to $74999','Middle Atlantic',positive
Yes,internet,'30 - 44',Female,'$25000 to $49999','West South Central',positive
Yes,tv,60+,Male,'$75000 to $99999',Mountain,negative
Yes,mobile,'30 - 44',Female,'Prefer not to answer','New England',positive
Yes,mobile,'30 - 44',Female,'$10000 to $24999','South Atlantic',positive
Yes,tv,'30 - 44',Female,'$50000 to $74999',Mountain,negative
Yes,tv,'45 - 59',Female,'$0 to $9999','East South Central',positive
Yes,internet,'18 - 29',Female,'$10000 to $24999','East South Central',positive
Yes,mobile,60+,Male,'$50000 to $74999','Middle Atlantic',positive
Yes,internet,'30 - 44',Male,'$50000 to $74999','West North Central',positive
Yes,internet,60+,Male,'$25000 to $49999','East North Central',positive
Yes,mobile,'18 - 29',Female,'$25000 to $49999','New England',positive
Yes,Newsletter,'30 - 44',Male,'$25000 to $49999',Pacific,negative
Yes,internet,'18 - 29',Male,'$100000 to $124999','West South Central',positive
Yes,internet,'18 - 29',Female,'$10000 to $24999',Pacific,positive
No,internet,'18 - 29',Female,'$25000 to $49999',Pacific,negative
Yes,paper,'45 - 59',Female,'Prefer not to answer',Pacific,positive
No,internet,'45 - 59',Female,'$25000 to $49999',Pacific,positive
Yes,internet,'30 - 44',Female,'$75000 to $99999','East North Central',positive
Yes,paper,60+,Female,'$100000 to $124999',Pacific,positive
Yes,mobile,'45 - 59',Female,'$100000 to $124999','West North Central',positive
Yes,internet,'45 - 59',Female,'Prefer not to answer','West North Central',positive
Yes,internet,60+,Female,'$25000 to $49999',Pacific,positive
Yes,internet,'30 - 44',Male,'$175000 to $199999','East North Central',negative
Yes,mobile,'30 - 44',Male,'$100000 to $124999','Middle Atlantic',positive
Yes,tv,'30 - 44',Male,'$25000 to $49999','East South Central',negative
Yes,internet,60+,Female,'$50000 to $74999','East North Central',positive
Yes,tv,'45 - 59',Male,'$0 to $9999','South Atlantic',positive
Yes,mobile,60+,Male,'$100000 to $124999',Pacific,positive
Yes,tv,'18 - 29',Female,'$25000 to $49999','South Atlantic',positive
No,mobile,'18 - 29',Female,'$25000 to $49999','South Atlantic',positive
Yes,tv,60+,Male,'$100000 to $124999','West South Central',negative
Yes,internet,'45 - 59',Male,'$75000 to $99999','South Atlantic',positive
No,internet,'45 - 59',Female,'$150000 to $174999','East North Central',negative
No,mobile,'18 - 29',Female,'$10000 to $24999','South Atlantic',negative
No,internet,'18 - 29',Male,'$75000 to $99999',Pacific,positive
Yes,tv,60+,Male,'$200000 and up',Pacific,negative
Yes,tv,60+,Male,'$75000 to $99999','West North Central',positive
Yes,mobile,'45 - 59',Female,'$25000 to $49999',Mountain,positive
No,tv,'45 - 59',Female,'$75000 to $99999','South Atlantic',positive
Yes,internet,'18 - 29',Female,'$25000 to $49999','East North Central',positive
Yes,tv,'30 - 44',Female,'$10000 to $24999','East North Central',positive
Yes,tv,60+,Male,'$25000 to $49999',Pacific,negative
No,tv,'30 - 44',Male,'$150000 to $174999','East North Central',positive
Yes,internet,'45 - 59',Male,'$200000 and up','South Atlantic',positive
No,tv,60+,Male,'$100000 to $124999',Pacific,positive
Yes,tv,60+,Female,'$25000 to $49999','West South Central',negative
Yes,mobile,'30 - 44',Female,'$50000 to $74999','East North Central',negative
Yes,internet,60+,Female,'Prefer not to answer','West South Central',negative
Yes,internet,60+,Female,'$25000 to $49999','East North Central',negative
Yes,internet,'45 - 59',Male,'$75000 to $99999','East South Central',positive
No,internet,'45 - 59',Female,'$200000 and up',Pacific,positive
Yes,mobile,'18 - 29',Female,'$10000 to $24999','East North Central',positive
Yes,tv,'45 - 59',Female,'$200000 and up',Mountain,positive
Yes,internet,'45 - 59',Male,'$25000 to $49999','New England',positive
Yes,mobile,'18 - 29',Female,'$200000 and up','New England',positive
Yes,internet,'45 - 59',Female,'$50000 to $74999','South Atlantic',positive
No,mobile,60+,Female,'Prefer not to answer',Pacific,positive
Yes,tv,'30 - 44',Male,'Prefer not to answer',Mountain,negative
Yes,radio,'18 - 29',Male,'Prefer not to answer',Pacific,positive
Yes,tv,60+,Female,'Prefer not to answer','New England',positive
No,internet,'30 - 44',Female,'$125000 to $149999',Pacific,negative
Yes,mobile,'30 - 44',Female,'$100000 to $124999',Pacific,positive
Yes,tv,'45 - 59',Male,'$10000 to $24999','Middle Atlantic',positive
Yes,tv,'30 - 44',Female,'$0 to $9999','East South Central',positive
Yes,paper,60+,Female,'$75000 to $99999','East North Central',negative
Yes,internet,'45 - 59',Female,'Prefer not to answer','East South Central',positive
No,radio,'30 - 44',Male,'$125000 to $149999','South Atlantic',negative
Yes,tv,'45 - 59',Female,'$50000 to $74999',Pacific,negative
No,tv,'18 - 29',Male,'$10000 to $24999','West North Central',positive
No,mobile,'18 - 29',Female,'$25000 to $49999',Mountain,positive
Yes,internet,'45 - 59',Female,'$25000 to $49999','East North Central',positive
Yes,tv,60+,Female,'Prefer not to answer','South Atlantic',positive
Yes,internet,'45 - 59',Male,'$125000 to $149999',Mountain,positive
Yes,tv,60+,Male,'$50000 to $74999','South Atlantic',positive
Yes,tv,60+,Female,'$10000 to $24999','West South Central',negative
Yes,internet,60+,Female,'Prefer not to answer','East North Central',negative
Yes,internet,'45 - 59',Male,'$75000 to $99999','East South Central',positive
Yes,radio,'30 - 44',Male,'$25000 to $49999','Middle Atlantic',positive
